id,central_requirement,foreign_id_grades
29,Eleven väljer enkel information från ett avgränsat urval av muntliga och skriftliga källor samt använder på ett delvis relevant sätt det valda materialet i sin egen produktion och interaktion.,1-1-2
30,I muntliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med fraser och meningar,1-1-2
31,I skriftliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med fraser och meningar.,1-1-2
32,"I interaktion uttrycker sig eleven enkelt och begripligt med ord, fraser och meningar",1-1-2
33,Dessutom använder eleven strategier som i någon mån underlättar och förbättrar interaktionen.,1-1-2
34,"Eleven kommenterar på ett enkelt sätt, på engelska, förhållanden i olika sammanhang och områden där språket används.",1-1-2
35,Eleven lyssnar samt förstår och tolkar huvudsakligt innehåll och tydliga detaljer i talat språk i måttligt tempo och i olika sammanhang,1-1-3
36,Eleven läser samt förstår och tolkar huvudsakligt innehåll och tydliga detaljer i lättillgängliga texter av olika slag,1-1-3
37,Eleven väljer och värderar innehåll i muntliga och skriftliga källor av olika slag samt använder på ett delvis relevant sätt det valda materialet i sin egen produktion och interaktion.,1-1-3
38,"I muntliga framställningar av olika slag formulerar sig eleven enkelt, begripligt och relativt sammanhängande",1-1-3
39,"I skriftliga framställningar av olika slag formulerar sig eleven enkelt, begripligt och relativt sammanhängande.",1-1-3
40,"I interaktion i olika sammanhang uttrycker sig eleven enkelt och begripligt samt i någon mån anpassat till syfte, mottagare och situation",1-1-3
41,Dessutom använder eleven strategier som i viss utsträckning underlättar och förbättrar interaktionen.,1-1-3
42,"Eleven diskuterar översiktligt, på engelska, förhållanden i olika sammanhang och områden där språket används, även utifrån egna erfarenheter eller kunskaper.",1-1-3
43,"Eleven visar grundläggande kunskaper om natur, kropp och hälsa, kraft och rörelse samt material och ämnen-I årskurs 1–3",1-1-1
44,Utifrån egna upplevelser och utforskande av närmiljön beskriver eleven enkla naturvetenskapliga samband i naturen och människokroppen-I årskurs 1–3,1-1-1
45,"Utifrån tydliga instruktioner utför eleven enkla fältstudier, observationer och experiment.-I årskurs 1–3",1-1-1
46,Eleven visar grundläggande kunskaper om fysikens begrepp och förklaringsmodeller,1-1-2
47,Med viss användning av begreppen och förklaringsmodellerna beskriver eleven enkla fysikaliska fenomen i naturen och samhället.,1-1-2
48,"Eleven använder information som rör fysik för att med viss naturvetenskaplig underbyggnad föra resonemang i frågor som rör energi, teknik och miljö.",1-1-2
49,Eleven söker svar på frågor genom att utföra systematiska undersökningar på ett säkert och i huvudsak fungerande sätt-I årskurs 4–6,1-1-2
50,Eleven värderar resultaten och beskriver på ett enkelt sätt undersökningarna.-I årskurs 4–6,1-1-2
51,Eleven visar grundläggande kunskaper om fysikens begrepp och förklaringsmodeller-I årskurs 7–9,1-1-3
52,Med viss användning av begreppen och förklaringsmodellerna beskriver och förklarar eleven fysikaliska fenomen i naturen och samhället.,1-1-3
53,"I frågor som rör energi, teknik och miljö för eleven resonemang samt framför och bemöter argument med viss naturvetenskaplig underbyggnad",1-1-3
54,Eleven söker information som rör fysik och använder då olika källor och för enkla resonemang om informationens och källornas trovärdighet och relevans.,1-1-3
55,Eleven söker svar på frågor genom att planera och utföra systematiska undersökningar på ett säkert och i huvudsak fungerande sätt-I årskurs 7–9,1-1-3
56,Eleven värderar undersökningarna genom att föra enkla resonemang utifrån frågeställningarna.-I årskurs 7–9,1-1-3
57,"Eleven visar grundläggande kunskaper om geografiska och historiska förhållanden, samhällsförhållanden och religiösa traditioner",1-1-1
58,Eleven beskriver likheter och skillnader samt orsaker och konsekvenser i sammanhang som är relevanta för ämnena,1-1-1
59,Eleven samtalar om människors livsfrågor och levnadsvillkor samt om miljöfrågor och andra samhällsfrågor ur olika perspektiv.,1-1-1
60,"Eleven använder begrepp, metoder och verktyg från de samhällsorienterande ämnena.",1-1-1
61,"Eleven visar grundläggande kunskaper om geografiska förhållanden, mönster och processer",1-1-2
62,Eleven för enkla resonemang om hur naturens processer och människors verksamheter formar och förändrar landskap och livsmiljöer i olika delar av världen,1-1-2
63,"Eleven visar även grundläggande kunskaper om namn och lägen på platser och regioner i Sverige, Europa och världen.",1-1-2
64,Eleven visar grundläggande kunskaper om miljö- och utvecklingsfrågor,1-1-2
65,Eleven för också enkla resonemang om åtgärder i frågor som rör hållbar utveckling.,1-1-2
66,Eleven använder geografins metoder och verktyg på ett i huvudsak fungerande sätt för att utifrån geografiska frågor beskriva och förklara förhållanden på olika platser och i olika regioner.,1-1-2
67,"Eleven visar grundläggande kunskaper om geografiska förhållanden, mönster och processer-I årskurs 7–9",1-1-3
68,"Eleven för enkla resonemang om orsaker till geografiska mönster och processer samt om deras konsekvenser för människa, samhälle och natur",1-1-3
69,Eleven visar även grundläggande kunskaper om namn och lägen på relevanta platser och regioner i olika delar av världen.,1-1-3
70,Eleven visar grundläggande kunskaper om miljö- och utvecklingsfrågor-I årskurs 7–9,1-1-3
71,"Eleven för också enkla resonemang om åtgärder för att främja hållbar utveckling utifrån ekologiska, sociala och ekonomiska perspektiv.",1-1-3
72,Eleven använder geografins metoder och verktyg på ett i huvudsak fungerande sätt för att utifrån geografiska frågor beskriva och analysera förhållanden på olika platser och i olika regioner.,1-1-3
73,Eleven tillagar enkla måltider och hanterar andra praktiska uppgifter som förekommer i ett hem genom att använda i huvudsak fungerande tillvägagångssätt.,1-1-2
74,Eleven ger exempel på olika sätt att spara och betala och beskriver på ett enkelt sätt vad som kan påverka konsumtionsval.,1-1-2
75,"Eleven värderar på ett enkelt sätt hur val och handlingar som förekommer i ett hem påverkar hälsa, ekonomi och miljö.",1-1-2
76,Eleven planerar och tillagar måltider och hanterar andra praktiska uppgifter som förekommer i ett hem genom att använda i huvudsak fungerande tillvägagångssätt,1-1-3
77,Eleven värderar på ett enkelt sätt hur arbetsprocessen har påverkat resultatets kvalitet.,1-1-3
78,Eleven beskriver på ett enkelt sätt faktorer och beslut som kan påverka privatekonomi och konsumtionsval.,1-1-3
79,"Eleven värderar på ett enkelt sätt hur val och handlingar som förekommer i ett hem påverkar hälsa, ekonomi och miljö.-I årskurs 7–9",1-1-3
80,"Eleven visar grundläggande kunskaper om geografiska och historiska förhållanden, samhällsförhållanden och religiösa traditioner-I årskurs 1–3",1-1-1
81,Eleven beskriver likheter och skillnader samt orsaker och konsekvenser i sammanhang som är relevanta för ämnena-I årskurs 1–3,1-1-1
82,Eleven samtalar om människors livsfrågor och levnadsvillkor samt om miljöfrågor och andra samhällsfrågor ur olika perspektiv.-I årskurs 1–3,1-1-1
83,"Eleven använder begrepp, metoder och verktyg från de samhällsorienterande ämnena.-I årskurs 1–3",1-1-1
84,"Eleven visar grundläggande kunskaper om händelser, aktörer och förändringsprocesser under olika tidsperioder samt om historiska begrepp",1-1-2
85,Eleven för enkla resonemang om orsaker till och konsekvenser av samhällsförändringar och av människors handlingar i förfluten tid,1-1-2
86,Eleven för också enkla resonemang om likheter och skillnader i människors levnadsvillkor under olika tidsperioder.,1-1-2
87,"Eleven ställer frågor till historiska källor, beskriver vad som kan vara en historisk källa och ger något exempel på vad källorna kan berätta om det förflutna.",1-1-2
88,Eleven ger exempel på hur historia kan brukas i något sammanhang,1-1-2
89,-I årskurs 4–6,1-1-2
90,"Eleven visar grundläggande kunskaper om händelser, aktörer och förändringsprocesser under olika tidsperioder samt om historiska begrepp-I årskurs 7–9",1-1-3
91,"Till detta hör att eleven visar kunskaper om särskilt centrala historiska skeenden, däribland Förintelsen",1-1-3
92,Eleven för enkla resonemang om orsaker till och konsekvenser av samhällsförändringar och av människors levnadsvillkor och handlingar i förfluten tid,1-1-3
93,Eleven för enkla resonemang om kontinuitet och förändring utifrån några långa historiska linjer.,1-1-3
94,Eleven ställer frågor till historiska källor och för enkla resonemang om vad källorna kan berätta om det förflutna samt om källornas relevans och trovärdighet.,1-1-3
95,Eleven för enkla resonemang om hur historia kan brukas i olika sammanhang och för olika syften.,1-1-3
96,Eleven genomför rörelseaktiviteter som innefattar sammansatta motoriska grundformer i olika fysiska sammanhang och anpassar sina rörelser till viss del till syftet med aktiviteterna.,1-1-2
97,Eleven genomför aktiviteter i natur- och utemiljö på ett i huvudsak fungerande sätt utifrån syftet med aktiviteterna och utifrån olika förhållanden.,1-1-2
98,Eleven värderar på ett enkelt sätt hur aktiviteterna påverkar den egna fysiska förmågan och hälsan.,1-1-2
99,Eleven förebygger på ett i huvudsak fungerande sätt risker i samband med olika aktiviteter,1-1-2
100,Eleven hanterar nödsituationer på land och vid vatten samt simmar 200 meter i en följd varav 50 meter i ryggläge.,1-1-2
101,Eleven genomför rörelseaktiviteter som innefattar komplexa rörelser i olika fysiska sammanhang och anpassar sina rörelser till viss del till syftet med aktiviteterna.,1-1-3
102,Eleven genomför friluftsaktiviteter under skilda årstider på ett i huvudsak fungerande sätt utifrån syftet med aktiviteterna och utifrån olika förhållanden och miljöer.,1-1-3
103,Eleven planerar och genomför rörelse- och friluftsaktiviteter på ett i huvudsak fungerande sätt utifrån hur de påverkar olika aspekter av fysisk förmåga och olika aspekter av hälsa,1-1-3
104,Eleven värderar på ett enkelt sätt hur olika aktiviteter och andra faktorer påverkar den egna och andras fysiska förmåga och hälsa.,1-1-3
105,Eleven förebygger på ett i huvudsak fungerande sätt risker i samband med olika aktiviteter-I årskurs 7–9,1-1-3
106,Eleven hanterar nödsituationer på land och vid vatten samt simmar 200 meter i en följd varav 50 meter i ryggläge.-I årskurs 7–9,1-1-3
107,Eleven visar grundläggande kunskaper om kemins begrepp och förklaringsmodeller,1-1-2
108,"Med viss användning av begreppen och förklaringsmodellerna beskriver eleven enkla kemiska samband i naturen, i samhället och i människokroppen.",1-1-2
109,Eleven använder information som rör kemi för att med viss naturvetenskaplig underbyggnad föra resonemang i frågor som rör miljö och hälsa.,1-1-2
110,Eleven visar grundläggande kunskaper om kemins begrepp och förklaringsmodeller-I årskurs 7–9,1-1-3
111,"Med viss användning av begreppen och förklaringsmodellerna beskriver och förklarar eleven kemiska samband i naturen, i samhället och i människokroppen.",1-1-3
112,I frågor som rör miljö och hälsa för eleven resonemang samt framför och bemöter argument med viss naturvetenskaplig underbyggnad-I årskurs 7–9,1-1-3
113,Eleven söker information som rör kemi och använder då olika källor och för enkla resonemang om informationens och källornas trovärdighet och relevans.,1-1-3
114,Eleven visar grundläggande kunskaper om matematiska begrepp och använder dem med tillfredsställande säkerhet,1-1-1
115,Eleven ger även exempel på hur några begrepp relaterar till varandra,1-1-1
116,Eleven visar grundläggande kunskaper om naturliga tal och beskriver tals inbördes relation samt delar upp tal,1-1-1
117,Eleven visar grundläggande kunskaper om tal i bråkform och delar upp helheter i delar samt jämför och namnger delarna som enkla bråk,1-1-1
118,Eleven använder och beskriver geometriska mönster och mönster i talföljder,1-1-1
119,"Dessutom använder eleven grundläggande geometriska begrepp och vanliga lägesord för att beskriva geometriska objekts egenskaper, läge och inbördes relationer",1-1-1
120,Eleven använder och ger exempel på enkla proportionella samband.,1-1-1
121,Eleven väljer och använder i huvudsak fungerande matematiska metoder för att göra enkla beräkningar med naturliga tal och lösa enkla rutinuppgifter med tillfredsställande säkerhet,1-1-1
122,Eleven använder huvudräkning för att genomföra beräkningar med de fyra räknesätten,1-1-1
123,Vid addition och subtraktion väljer och använder eleven skriftliga räknemetoder med tillfredsställande säkerhet,1-1-1
124,Eleven hanterar enkla matematiska likheter och använder då likhetstecknet på ett fungerande sätt,1-1-1
125,"Eleven avbildar och, utifrån instruktioner, konstruerar enkla geometriska objekt",1-1-1
126,"Eleven gör enkla mätningar, jämförelser och uppskattningar av längder, massor, volymer och tider och använder vanliga måttenheter",1-1-1
127,Vid olika undersökningar avläser och skapar eleven enkla tabeller och diagram för att sortera och redovisa resultat.,1-1-1
128,Eleven löser enkla problem genom att välja och använda någon strategi med viss anpassning till problemets karaktär,1-1-1
129,Eleven beskriver tillvägagångssätt och ger enkla omdömen om resultatens rimlighet.,1-1-1
130,Eleven för och följer matematiska resonemang genom att ställa och besvara frågor som i huvudsak hör till ämnet.,1-1-1
131,"Eleven beskriver och samtalar om tillvägagångssätt på ett i huvudsak fungerande sätt och använder då konkret material, bilder, symboler och andra matematiska uttrycksformer.",1-1-1
132,"Eleven visar grundläggande kunskaper om matematiska begrepp samt använder och beskriver begrepp och samband mellan begrepp inom områdena taluppfattning och tals användning, algebra, geometri, sannolikhet och statistik samt samband och förändring med tillfredsställande säkerhet.",1-1-2
133,"Eleven väljer och använder i huvudsak fungerande matematiska metoder för att göra beräkningar och lösa rutinuppgifter inom områdena taluppfattning och tals användning, algebra, geometri, sannolikhet och statistik samt samband och förändring med tillfredsställande säkerhet.",1-1-2
134,Eleven löser enkla problem,1-1-2
135,Eleven bidrar till något förslag på alternativt tillvägagångssätt och värderar resultatens rimlighet.,1-1-2
136,Eleven för och följer matematiska resonemang genom att framföra och bemöta påståenden med enkla matematiska argument.,1-1-2
137,Eleven redogör för och samtalar om tillvägagångssätt på ett i huvudsak fungerande sätt och använder då symboler och andra matematiska uttrycksformer.,1-1-2
138,"Eleven visar grundläggande kunskaper om matematiska begrepp samt använder och beskriver begrepp och samband mellan begrepp inom områdena taluppfattning och tals användning, algebra, geometri, sannolikhet och statistik samt samband och förändring med tillfredsställande säkerhet.-I årskurs 7–9",1-1-3
139,"Eleven väljer och använder i huvudsak fungerande matematiska metoder för att göra beräkningar och lösa rutinuppgifter inom områdena taluppfattning och tals användning, algebra, geometri, sannolikhet och statistik samt samband och förändring med tillfredsställande säkerhet.-I årskurs 7–9",1-1-3
140,Eleven löser enkla problem-I årskurs 7–9,1-1-3
141,Eleven bidrar till något förslag på alternativt tillvägagångssätt,1-1-3
142,I samband med problemlösning bidrar eleven till att formulera enkla matematiska modeller som kan tillämpas i sammanhanget,1-1-3
143,Eleven värderar strategier och resultatens rimlighet på ett enkelt sätt.,1-1-3
144,Eleven för och följer matematiska resonemang genom att framföra och bemöta påståenden med enkla matematiska argument.-I årskurs 7–9,1-1-3
145,Eleven redogör för och samtalar om tillvägagångssätt på ett i huvudsak fungerande sätt och använder då symboler och andra matematiska uttrycksformer.-I årskurs 7–9,1-1-3
146,"Eleven lyssnar, och förstår vanliga, enkla ord och fraser i tydligt talat, enkelt språk i långsamt tempo om välbekanta ämnen",1-11-11
147,"Eleven läser, och förstår vanliga, enkla ord och fraser i korta, enkla texter om välbekanta ämnen.",1-11-11
148,I muntliga framställningar av olika slag formulerar sig eleven mycket enkelt och i huvudsak begripligt med enstaka vanliga ord och fraser,1-11-11
149,I skriftliga framställningar av olika slag formulerar sig eleven mycket enkelt och i huvudsak begripligt med enstaka vanliga ord och fraser.,1-11-11
150,I interaktion uttrycker sig eleven mycket enkelt och i huvudsak begripligt med enstaka vanliga ord och fraser,1-11-11
151,Dessutom använder eleven strategier som i någon mån underlättar interaktionen.,1-11-11
152,"Eleven kommenterar på ett mycket enkelt sätt, på målspråket, förhållanden i olika sammanhang och områden där språket används.",1-11-11
153,"Eleven lyssnar, och förstår vanliga ord och enkla fraser i tydligt talat, enkelt språk i långsamt tempo om vardagliga och välbekanta ämnen",1-11-12
154,"Eleven läser, och förstår vanliga ord och enkla fraser i korta, enkla texter om vardagliga och välbekanta ämnen",1-11-12
155,Eleven hittar enkel information i anvisade muntliga och skriftliga källor samt använder på ett delvis relevant sätt det valda materialet i sin egen produktion och interaktion.,1-11-12
156,I muntliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med enstaka ord och fraser,1-11-12
157,I skriftliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med enstaka ord och fraser.,1-11-12
158,I interaktion uttrycker sig eleven enkelt och begripligt med enstaka ord och fraser,1-11-12
159,"Dessutom använder eleven strategier som i någon mån underlättar och förbättrar interaktionen.-Betygskriterier för slutet av årskurs 9, inom ramen för elevens val",1-11-12
160,"Eleven kommenterar på ett mycket enkelt sätt, på målspråket, förhållanden i olika sammanhang och områden där språket används.-Betygskriterier för slutet av årskurs 9, inom ramen för elevens val",1-11-12
161,"Eleven lyssnar, och förstår vanliga, enkla ord och fraser i tydligt talat, enkelt språk i långsamt tempo om välbekanta ämnen-Betygskriterier för slutet av årskurs 6, inom ramen för språkval",1-11-13
162,"Eleven läser, och förstår vanliga, enkla ord och fraser i korta, enkla texter om välbekanta ämnen.-Betygskriterier för slutet av årskurs 6, inom ramen för språkval",1-11-13
163,"I muntliga framställningar av olika slag formulerar sig eleven mycket enkelt och i huvudsak begripligt med enstaka vanliga ord och fraser-Betygskriterier för slutet av årskurs 6, inom ramen för språkval",1-11-13
164,"I skriftliga framställningar av olika slag formulerar sig eleven mycket enkelt och i huvudsak begripligt med enstaka vanliga ord och fraser.-Betygskriterier för slutet av årskurs 6, inom ramen för språkval",1-11-13
165,"I interaktion uttrycker sig eleven mycket enkelt och i huvudsak begripligt med enstaka vanliga ord och fraser-Betygskriterier för slutet av årskurs 6, inom ramen för språkval",1-11-13
166,"Dessutom använder eleven strategier som i någon mån underlättar interaktionen.-Betygskriterier för slutet av årskurs 6, inom ramen för språkval",1-11-13
167,"Eleven kommenterar på ett mycket enkelt sätt, på målspråket, förhållanden i olika sammanhang och områden där språket används.-Betygskriterier för slutet av årskurs 6, inom ramen för språkval",1-11-13
168,"Eleven lyssnar samt förstår och tolkar det mest väsentliga av innehållet i tydligt talat, enkelt språk i lugnt tempo om vardagliga och välbekanta ämnen-Betygskriterier för slutet av årskurs 9, inom ramen för språkval",1-11-14
169,"Eleven läser samt förstår och tolkar det mest väsentliga av innehållet i enkla texter om vardagliga och välbekanta ämnen-Betygskriterier för slutet av årskurs 9, inom ramen för språkval",1-11-14
170,"Eleven väljer enkel information från ett avgränsat urval av muntliga och skriftliga källor samt använder på ett delvis relevant sätt det valda materialet i sin egen produktion och interaktion.-Betygskriterier för slutet av årskurs 9, inom ramen för språkval",1-11-14
171,"I muntliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med fraser och meningar-Betygskriterier för slutet av årskurs 9, inom ramen för språkval",1-11-14
172,I skriftliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med fraser och meningar,1-11-14
173,"-Betygskriterier för slutet av årskurs 9, inom ramen för språkval",1-11-14
174,"I interaktion uttrycker sig eleven enkelt och begripligt med ord, fraser och meningar-Betygskriterier för slutet av årskurs 9, inom ramen för språkval",1-11-14
175,"Dessutom använder eleven strategier som i någon mån underlättar och förbättrar interaktionen.-Betygskriterier för slutet av årskurs 9, inom ramen för språkval",1-11-14
176,"Eleven kommenterar på ett enkelt sätt, på målspråket, förhållanden i olika sammanhang och områden där språket används.",1-11-14
177,"Eleven lyssnar, och förstår vanliga, enkla ord i tydligt talad, enkel kinesiska i mycket långsamt tempo om välbekanta ämnen.",1-11-15
178,I muntliga framställningar formulerar sig eleven mycket enkelt och i huvudsak begripligt med enstaka vanliga ord och fraser,1-11-15
179,I muntlig interaktion uttrycker sig eleven mycket enkelt och i huvudsak begripligt med enstaka vanliga ord och fraser,1-11-15
180,"Dessutom använder eleven strategier som i någon mån underlättar interaktionen.-Betygskriterier för slutet av årskurs 6, inom ramen för elevens val, kinesiska",1-11-15
181,"Eleven läser, och förstår mycket vanliga ord i korta, enkla texter som handlar om välbekanta ämnen och som är skrivna med förenklade tecken.",1-11-15
182,Eleven skriver några vanligt förekommande tecken för hand och med hjälp av digitala hjälpmedel.,1-11-15
183,"Eleven kommenterar på ett mycket enkelt sätt, på kinesiska, förhållanden i olika sammanhang och områden där språket används.",1-11-15
184,"Eleven lyssnar, och förstår vanliga ord och enkla fraser i tydligt talad, enkel kinesiska i mycket långsamt tempo om välbekanta ämnen.",1-11-16
185,"I muntliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med enstaka ord och fraser-Betygskriterier för slutet av årskurs 9, inom ramen för elevens val, kinesiska",1-11-16
186,I muntlig interaktion uttrycker sig eleven enkelt och begripligt med enstaka ord och fraser,1-11-16
187,"Dessutom använder eleven strategier som i någon mån underlättar och förbättrar interaktionen.-Betygskriterier för slutet av årskurs 9, inom ramen för elevens val, kinesiska",1-11-16
188,"Eleven läser, och förstår vanliga ord i korta, enkla texter som handlar om välbekanta ämnen och som är skrivna med förenklade tecken.",1-11-16
189,"Eleven använder några vanligt förekommande tecken för att med viss säkerhet skriva korta, enkla texter för hand och med hjälp av digitala hjälpmedel.",1-11-16
190,"Eleven kommenterar på ett mycket enkelt sätt, på kinesiska, förhållanden i olika sammanhang och områden där språket används.-Betygskriterier för slutet av årskurs 9, inom ramen för elevens val, kinesiska",1-11-16
191,"Eleven lyssnar, och förstår vanliga, enkla ord i tydligt talad, enkel kinesiska i mycket långsamt tempo om välbekanta ämnen.-Betygskriterier för slutet av årskurs 6, inom ramen för språkval, kinesiska",1-11-17
192,"I muntliga framställningar formulerar sig eleven mycket enkelt och i huvudsak begripligt med enstaka vanliga ord och fraser-Betygskriterier för slutet av årskurs 6, inom ramen för språkval, kinesiska",1-11-17
193,"I muntlig interaktion uttrycker sig eleven mycket enkelt och i huvudsak begripligt med enstaka vanliga ord och fraser-Betygskriterier för slutet av årskurs 6, inom ramen för språkval, kinesiska",1-11-17
194,"Dessutom använder eleven strategier som i någon mån underlättar interaktionen.-Betygskriterier för slutet av årskurs 6, inom ramen för språkval, kinesiska",1-11-17
195,"Eleven läser, och förstår mycket vanliga ord i korta, enkla texter som handlar om välbekanta ämnen och som är skrivna med förenklade tecken.-Betygskriterier för slutet av årskurs 6, inom ramen för språkval, kinesiska",1-11-17
196,"Eleven skriver några vanligt förekommande tecken för hand och med hjälp av digitala hjälpmedel.-Betygskriterier för slutet av årskurs 6, inom ramen för språkval, kinesiska",1-11-17
197,"Eleven kommenterar på ett mycket enkelt sätt, på kinesiska, förhållanden i olika sammanhang och områden där språket används.-Betygskriterier för slutet av årskurs 6, inom ramen för språkval, kinesiska",1-11-17
198,"Eleven lyssnar, och förstår vanliga ord och enkla fraser i tydligt talad, enkel kinesiska i långsamt tempo om vardagliga och välbekanta ämnen",1-11-18
199,Eleven hittar enkel information i anvisade muntliga källor och använder på ett delvis relevant sätt det valda materialet i sin egen produktion och interaktion.,1-11-18
200,"I muntliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med enstaka ord och fraser-Betygskriterier för slutet av årskurs 9, inom ramen för språkval, kinesiska",1-11-18
201,"I muntlig interaktion uttrycker sig eleven enkelt och begripligt med enstaka ord och fraser-Betygskriterier för slutet av årskurs 9, inom ramen för språkval, kinesiska",1-11-18
202,"Dessutom använder eleven strategier som i någon mån underlättar och förbättrar interaktionen.-Betygskriterier för slutet av årskurs 9, inom ramen för språkval, kinesiska",1-11-18
203,"Eleven läser, och förstår vanliga ord och enkla fraser i korta, enkla texter som handlar om vardagliga och välbekanta ämnen och som är skrivna med förenklade tecken",1-11-18
204,Eleven hittar mycket enkel information i anvisade skriftliga källor och använder på ett delvis relevant sätt det valda materialet i sin egen produktion och interaktion.,1-11-18
205,Eleven skriver med hjälp av digitala hjälpmedel och i viss utsträckning även för hand,1-11-18
206,I skriftliga framställningar med förenklade tecken formulerar sig eleven enkelt och begripligt med enstaka ord och fraser,1-11-18
207,I skriftlig interaktion med förenklade tecken uttrycker sig eleven enkelt och begripligt med enstaka ord och fraser.,1-11-18
208,"Eleven kommenterar på ett mycket enkelt sätt, på kinesiska, förhållanden i olika sammanhang och områden där språket används.-Betygskriterier för slutet av årskurs 9, inom ramen för språkval, kinesiska",1-11-18
209,Eleven samtalar om bekanta ämnen på ett sätt som till viss del upprätthåller samtalen,1-1-2
210,"Dessutom förbereder och genomför eleven muntliga framställningar med i huvudsak fungerande inledning, innehåll och avslutning och viss anpassning till syfte och mottagare.",1-1-2
211,"Eleven skriver, utifrån modersmålets särdrag, olika slags texter med begripligt innehåll, i huvudsak fungerande struktur och viss språklig variation",1-1-2
212,Eleven följer grundläggande regler för språkriktighet med viss säkerhet.,1-1-2
213,Eleven läser olika texter med visst flyt och visar grundläggande läsförståelse,1-1-2
214,Eleven för enkla resonemang om tydligt framträdande budskap i olika texter.,1-1-2
215,Eleven beskriver på ett enkelt sätt likheter och skillnader i skriftspråk mellan modersmålet och svenska.,1-1-2
216,"Eleven beskriver på ett enkelt sätt, även utifrån egna erfarenheter eller kunskaper, om traditioner och företeelser med anknytning till områden där modersmålet talas.",1-1-2
217,Eleven samtalar om och diskuterar varierande ämnen på ett sätt som till viss del utvecklar samtalen och diskussionerna,1-1-3
218,"Dessutom förbereder och genomför eleven muntliga framställningar med i huvudsak fungerande struktur, innehåll och viss anpassning till syfte, mottagare och sammanhang.",1-1-3
219,"Eleven skriver, utifrån modersmålets särdrag, olika slags texter med viss språklig variation, i huvudsak fungerande struktur och innehåll samt viss anpassning till texttyp, syfte, mottagare och sammanhang",1-1-3
220,Eleven följer grundläggande regler för språkriktighet med viss säkerhet.-I årskurs 7–9,1-1-3
