id,central_requirement,foreign_id_grades
52,Med viss användning av begreppen och förklaringsmodellerna beskriver och förklarar eleven fysikaliska fenomen i naturen och samhället.,1-4-22
53,"I frågor som rör energi, teknik och miljö för eleven resonemang samt framför och bemöter argument med viss naturvetenskaplig underbyggnad",1-4-22
54,Eleven söker information som rör fysik och använder då olika källor och för enkla resonemang om informationens och källornas trovärdighet och relevans.,1-4-22
55,Eleven söker svar på frågor genom att planera och utföra systematiska undersökningar på ett säkert och i huvudsak fungerande sätt,1-4-22
56,Eleven värderar undersökningarna genom att föra enkla resonemang utifrån frågeställningarna.,1-4-22
57,"Eleven visar grundläggande kunskaper om geografiska och historiska förhållanden, samhällsförhållanden och religiösa traditioner",1-5-26
58,Eleven beskriver likheter och skillnader samt orsaker och konsekvenser i sammanhang som är relevanta för ämnena,1-5-26
59,Eleven samtalar om människors livsfrågor och levnadsvillkor samt om miljöfrågor och andra samhällsfrågor ur olika perspektiv.,1-5-26
60,"Eleven använder begrepp, metoder och verktyg från de samhällsorienterande ämnena.",1-5-26
61,"Eleven visar grundläggande kunskaper om geografiska förhållanden, mönster och processer",1-5-27
62,Eleven för enkla resonemang om hur naturens processer och människors verksamheter formar och förändrar landskap och livsmiljöer i olika delar av världen,1-5-27
63,"Eleven visar även grundläggande kunskaper om namn och lägen på platser och regioner i Sverige, Europa och världen.",1-5-27
64,Eleven visar grundläggande kunskaper om miljö- och utvecklingsfrågor,1-5-27
65,Eleven för också enkla resonemang om åtgärder i frågor som rör hållbar utveckling.,1-5-27
66,Eleven använder geografins metoder och verktyg på ett i huvudsak fungerande sätt för att utifrån geografiska frågor beskriva och förklara förhållanden på olika platser och i olika regioner.,1-5-27
67,"Eleven visar grundläggande kunskaper om geografiska förhållanden, mönster och processer",1-5-28
68,"Eleven för enkla resonemang om orsaker till geografiska mönster och processer samt om deras konsekvenser för människa, samhälle och natur",1-5-28
69,Eleven visar även grundläggande kunskaper om namn och lägen på relevanta platser och regioner i olika delar av världen.,1-5-28
70,Eleven visar grundläggande kunskaper om miljö- och utvecklingsfrågor,1-5-28
71,"Eleven för också enkla resonemang om åtgärder för att främja hållbar utveckling utifrån ekologiska, sociala och ekonomiska perspektiv.",1-5-28
72,Eleven använder geografins metoder och verktyg på ett i huvudsak fungerande sätt för att utifrån geografiska frågor beskriva och analysera förhållanden på olika platser och i olika regioner.,1-5-28
73,Eleven tillagar enkla måltider och hanterar andra praktiska uppgifter som förekommer i ett hem genom att använda i huvudsak fungerande tillvägagångssätt.,1-6-31
74,Eleven ger exempel på olika sätt att spara och betala och beskriver på ett enkelt sätt vad som kan påverka konsumtionsval.,1-6-31
75,"Eleven värderar på ett enkelt sätt hur val och handlingar som förekommer i ett hem påverkar hälsa, ekonomi och miljö.",1-6-31
76,Eleven planerar och tillagar måltider och hanterar andra praktiska uppgifter som förekommer i ett hem genom att använda i huvudsak fungerande tillvägagångssätt,1-6-32
77,Eleven värderar på ett enkelt sätt hur arbetsprocessen har påverkat resultatets kvalitet.,1-6-32
78,Eleven beskriver på ett enkelt sätt faktorer och beslut som kan påverka privatekonomi och konsumtionsval.,1-6-32
79,"Eleven värderar på ett enkelt sätt hur val och handlingar som förekommer i ett hem påverkar hälsa, ekonomi och miljö.",1-6-32
80,"Eleven visar grundläggande kunskaper om geografiska och historiska förhållanden, samhällsförhållanden och religiösa traditioner",1-7-36
81,Eleven beskriver likheter och skillnader samt orsaker och konsekvenser i sammanhang som är relevanta för ämnena,1-7-36
82,Eleven samtalar om människors livsfrågor och levnadsvillkor samt om miljöfrågor och andra samhällsfrågor ur olika perspektiv.,1-7-36
83,"Eleven använder begrepp, metoder och verktyg från de samhällsorienterande ämnena.",1-7-36
84,"Eleven visar grundläggande kunskaper om händelser, aktörer och förändringsprocesser under olika tidsperioder samt om historiska begrepp",1-7-37
85,Eleven för enkla resonemang om orsaker till och konsekvenser av samhällsförändringar och av människors handlingar i förfluten tid,1-7-37
86,Eleven för också enkla resonemang om likheter och skillnader i människors levnadsvillkor under olika tidsperioder.,1-7-37
87,"Eleven ställer frågor till historiska källor, beskriver vad som kan vara en historisk källa och ger något exempel på vad källorna kan berätta om det förflutna.",1-7-37
88,Eleven ger exempel på hur historia kan brukas i något sammanhang,1-7-37
89,,1-7-37
90,"Eleven visar grundläggande kunskaper om händelser, aktörer och förändringsprocesser under olika tidsperioder samt om historiska begrepp",1-7-38
91,"Till detta hör att eleven visar kunskaper om särskilt centrala historiska skeenden, däribland Förintelsen",1-7-38
92,Eleven för enkla resonemang om orsaker till och konsekvenser av samhällsförändringar och av människors levnadsvillkor och handlingar i förfluten tid,1-7-38
93,Eleven för enkla resonemang om kontinuitet och förändring utifrån några långa historiska linjer.,1-7-38
94,Eleven ställer frågor till historiska källor och för enkla resonemang om vad källorna kan berätta om det förflutna samt om källornas relevans och trovärdighet.,1-7-38
95,Eleven för enkla resonemang om hur historia kan brukas i olika sammanhang och för olika syften.,1-7-38
96,Eleven genomför rörelseaktiviteter som innefattar sammansatta motoriska grundformer i olika fysiska sammanhang och anpassar sina rörelser till viss del till syftet med aktiviteterna.,1-8-42
97,Eleven genomför aktiviteter i natur- och utemiljö på ett i huvudsak fungerande sätt utifrån syftet med aktiviteterna och utifrån olika förhållanden.,1-8-42
98,Eleven värderar på ett enkelt sätt hur aktiviteterna påverkar den egna fysiska förmågan och hälsan.,1-8-42
99,Eleven förebygger på ett i huvudsak fungerande sätt risker i samband med olika aktiviteter,1-8-42
100,Eleven hanterar nödsituationer på land och vid vatten samt simmar 200 meter i en följd varav 50 meter i ryggläge.,1-8-42
101,Eleven genomför rörelseaktiviteter som innefattar komplexa rörelser i olika fysiska sammanhang och anpassar sina rörelser till viss del till syftet med aktiviteterna.,1-8-43
102,Eleven genomför friluftsaktiviteter under skilda årstider på ett i huvudsak fungerande sätt utifrån syftet med aktiviteterna och utifrån olika förhållanden och miljöer.,1-8-43
103,Eleven planerar och genomför rörelse- och friluftsaktiviteter på ett i huvudsak fungerande sätt utifrån hur de påverkar olika aspekter av fysisk förmåga och olika aspekter av hälsa,1-8-43
104,Eleven värderar på ett enkelt sätt hur olika aktiviteter och andra faktorer påverkar den egna och andras fysiska förmåga och hälsa.,1-8-43
105,Eleven förebygger på ett i huvudsak fungerande sätt risker i samband med olika aktiviteter,1-8-43
106,Eleven hanterar nödsituationer på land och vid vatten samt simmar 200 meter i en följd varav 50 meter i ryggläge.,1-8-43
107,"Eleven visar grundläggande kunskaper om natur, kropp och hälsa, kraft och rörelse samt material och ämnen",1-9-47
108,Utifrån egna upplevelser och utforskande av närmiljön beskriver eleven enkla naturvetenskapliga samband i naturen och människokroppen,1-9-47
109,"Utifrån tydliga instruktioner utför eleven enkla fältstudier, observationer och experiment.",1-9-47
110,Eleven visar grundläggande kunskaper om kemins begrepp och förklaringsmodeller,1-9-48
111,"Med viss användning av begreppen och förklaringsmodellerna beskriver eleven enkla kemiska samband i naturen, i samhället och i människokroppen.",1-9-48
112,Eleven använder information som rör kemi för att med viss naturvetenskaplig underbyggnad föra resonemang i frågor som rör miljö och hälsa.,1-9-48
113,Eleven söker svar på frågor genom att utföra systematiska undersökningar på ett säkert och i huvudsak fungerande sätt,1-9-48
114,Eleven värderar resultaten och beskriver på ett enkelt sätt undersökningarna.,1-9-48
115,Eleven visar grundläggande kunskaper om kemins begrepp och förklaringsmodeller,1-9-49
116,"Med viss användning av begreppen och förklaringsmodellerna beskriver och förklarar eleven kemiska samband i naturen, i samhället och i människokroppen.",1-9-49
117,I frågor som rör miljö och hälsa för eleven resonemang samt framför och bemöter argument med viss naturvetenskaplig underbyggnad,1-9-49
118,Eleven söker information som rör kemi och använder då olika källor och för enkla resonemang om informationens och källornas trovärdighet och relevans.,1-9-49
119,Eleven söker svar på frågor genom att planera och utföra systematiska undersökningar på ett säkert och i huvudsak fungerande sätt,1-9-49
120,Eleven värderar undersökningarna genom att föra enkla resonemang utifrån frågeställningarna.,1-9-49
121,Eleven visar grundläggande kunskaper om matematiska begrepp och använder dem med tillfredsställande säkerhet,1-10-53
122,Eleven ger även exempel på hur några begrepp relaterar till varandra,1-10-53
123,Eleven visar grundläggande kunskaper om naturliga tal och beskriver tals inbördes relation samt delar upp tal,1-10-53
124,Eleven visar grundläggande kunskaper om tal i bråkform och delar upp helheter i delar samt jämför och namnger delarna som enkla bråk,1-10-53
125,Eleven använder och beskriver geometriska mönster och mönster i talföljder,1-10-53
126,"Dessutom använder eleven grundläggande geometriska begrepp och vanliga lägesord för att beskriva geometriska objekts egenskaper, läge och inbördes relationer",1-10-53
127,Eleven använder och ger exempel på enkla proportionella samband.,1-10-53
128,Eleven väljer och använder i huvudsak fungerande matematiska metoder för att göra enkla beräkningar med naturliga tal och lösa enkla rutinuppgifter med tillfredsställande säkerhet,1-10-53
129,Eleven använder huvudräkning för att genomföra beräkningar med de fyra räknesätten,1-10-53
130,Vid addition och subtraktion väljer och använder eleven skriftliga räknemetoder med tillfredsställande säkerhet,1-10-53
131,Eleven hanterar enkla matematiska likheter och använder då likhetstecknet på ett fungerande sätt,1-10-53
132,"Eleven avbildar och, utifrån instruktioner, konstruerar enkla geometriska objekt",1-10-53
133,"Eleven gör enkla mätningar, jämförelser och uppskattningar av längder, massor, volymer och tider och använder vanliga måttenheter",1-10-53
134,Vid olika undersökningar avläser och skapar eleven enkla tabeller och diagram för att sortera och redovisa resultat.,1-10-53
135,Eleven löser enkla problem genom att välja och använda någon strategi med viss anpassning till problemets karaktär,1-10-53
136,Eleven beskriver tillvägagångssätt och ger enkla omdömen om resultatens rimlighet.,1-10-53
137,Eleven för och följer matematiska resonemang genom att ställa och besvara frågor som i huvudsak hör till ämnet.,1-10-53
138,"Eleven beskriver och samtalar om tillvägagångssätt på ett i huvudsak fungerande sätt och använder då konkret material, bilder, symboler och andra matematiska uttrycksformer.",1-10-53
139,"Eleven visar grundläggande kunskaper om matematiska begrepp samt använder och beskriver begrepp och samband mellan begrepp inom områdena taluppfattning och tals användning, algebra, geometri, sannolikhet och statistik samt samband och förändring med tillfredsställande säkerhet.",1-10-54
140,"Eleven väljer och använder i huvudsak fungerande matematiska metoder för att göra beräkningar och lösa rutinuppgifter inom områdena taluppfattning och tals användning, algebra, geometri, sannolikhet och statistik samt samband och förändring med tillfredsställande säkerhet.",1-10-54
141,Eleven löser enkla problem,1-10-54
142,Eleven bidrar till något förslag på alternativt tillvägagångssätt och värderar resultatens rimlighet.,1-10-54
143,Eleven för och följer matematiska resonemang genom att framföra och bemöta påståenden med enkla matematiska argument.,1-10-54
144,Eleven redogör för och samtalar om tillvägagångssätt på ett i huvudsak fungerande sätt och använder då symboler och andra matematiska uttrycksformer.,1-10-54
145,"Eleven visar grundläggande kunskaper om matematiska begrepp samt använder och beskriver begrepp och samband mellan begrepp inom områdena taluppfattning och tals användning, algebra, geometri, sannolikhet och statistik samt samband och förändring med tillfredsställande säkerhet.",1-10-55
146,"Eleven väljer och använder i huvudsak fungerande matematiska metoder för att göra beräkningar och lösa rutinuppgifter inom områdena taluppfattning och tals användning, algebra, geometri, sannolikhet och statistik samt samband och förändring med tillfredsställande säkerhet.",1-10-55
147,Eleven löser enkla problem,1-10-55
148,Eleven bidrar till något förslag på alternativt tillvägagångssätt,1-10-55
149,I samband med problemlösning bidrar eleven till att formulera enkla matematiska modeller som kan tillämpas i sammanhanget,1-10-55
150,Eleven värderar strategier och resultatens rimlighet på ett enkelt sätt.,1-10-55
151,Eleven för och följer matematiska resonemang genom att framföra och bemöta påståenden med enkla matematiska argument.,1-10-55
152,Eleven redogör för och samtalar om tillvägagångssätt på ett i huvudsak fungerande sätt och använder då symboler och andra matematiska uttrycksformer.,1-10-55
153,"Eleven lyssnar, och förstår vanliga, enkla ord och fraser i tydligt talat, enkelt språk i långsamt tempo om välbekanta ämnen",1-11-62
154,"Eleven läser, och förstår vanliga, enkla ord och fraser i korta, enkla texter om välbekanta ämnen.",1-11-62
155,I muntliga framställningar av olika slag formulerar sig eleven mycket enkelt och i huvudsak begripligt med enstaka vanliga ord och fraser,1-11-62
156,I skriftliga framställningar av olika slag formulerar sig eleven mycket enkelt och i huvudsak begripligt med enstaka vanliga ord och fraser.,1-11-62
157,I interaktion uttrycker sig eleven mycket enkelt och i huvudsak begripligt med enstaka vanliga ord och fraser,1-11-62
158,Dessutom använder eleven strategier som i någon mån underlättar interaktionen.,1-11-62
159,"Eleven kommenterar på ett mycket enkelt sätt, på målspråket, förhållanden i olika sammanhang och områden där språket används.",1-11-62
160,"Eleven lyssnar, och förstår vanliga ord och enkla fraser i tydligt talat, enkelt språk i långsamt tempo om vardagliga och välbekanta ämnen",1-11-63
161,"Eleven läser, och förstår vanliga ord och enkla fraser i korta, enkla texter om vardagliga och välbekanta ämnen",1-11-63
162,Eleven hittar enkel information i anvisade muntliga och skriftliga källor samt använder på ett delvis relevant sätt det valda materialet i sin egen produktion och interaktion.,1-11-63
163,I muntliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med enstaka ord och fraser,1-11-63
164,I skriftliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med enstaka ord och fraser.,1-11-63
165,I interaktion uttrycker sig eleven enkelt och begripligt med enstaka ord och fraser,1-11-63
166,Dessutom använder eleven strategier som i någon mån underlättar och förbättrar interaktionen.,1-11-63
167,"Eleven kommenterar på ett mycket enkelt sätt, på målspråket, förhållanden i olika sammanhang och områden där språket används.",1-11-63
168,"Eleven lyssnar, och förstår vanliga, enkla ord och fraser i tydligt talat, enkelt språk i långsamt tempo om välbekanta ämnen",1-11-64
169,"Eleven läser, och förstår vanliga, enkla ord och fraser i korta, enkla texter om välbekanta ämnen.",1-11-64
170,I muntliga framställningar av olika slag formulerar sig eleven mycket enkelt och i huvudsak begripligt med enstaka vanliga ord och fraser,1-11-64
171,I skriftliga framställningar av olika slag formulerar sig eleven mycket enkelt och i huvudsak begripligt med enstaka vanliga ord och fraser.,1-11-64
172,I interaktion uttrycker sig eleven mycket enkelt och i huvudsak begripligt med enstaka vanliga ord och fraser,1-11-64
173,Dessutom använder eleven strategier som i någon mån underlättar interaktionen.,1-11-64
174,"Eleven kommenterar på ett mycket enkelt sätt, på målspråket, förhållanden i olika sammanhang och områden där språket används.",1-11-64
175,"Eleven lyssnar samt förstår och tolkar det mest väsentliga av innehållet i tydligt talat, enkelt språk i lugnt tempo om vardagliga och välbekanta ämnen",1-11-65
176,Eleven läser samt förstår och tolkar det mest väsentliga av innehållet i enkla texter om vardagliga och välbekanta ämnen,1-11-65
177,Eleven väljer enkel information från ett avgränsat urval av muntliga och skriftliga källor samt använder på ett delvis relevant sätt det valda materialet i sin egen produktion och interaktion.,1-11-65
178,I muntliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med fraser och meningar,1-11-65
179,I skriftliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med fraser och meningar,1-11-65
180,,1-11-65
181,"I interaktion uttrycker sig eleven enkelt och begripligt med ord, fraser och meningar",1-11-65
182,Dessutom använder eleven strategier som i någon mån underlättar och förbättrar interaktionen.,1-11-65
183,"Eleven kommenterar på ett enkelt sätt, på målspråket, förhållanden i olika sammanhang och områden där språket används.",1-11-65
184,"Eleven lyssnar, och förstår vanliga, enkla ord i tydligt talad, enkel kinesiska i mycket långsamt tempo om välbekanta ämnen.",1-11-66
185,I muntliga framställningar formulerar sig eleven mycket enkelt och i huvudsak begripligt med enstaka vanliga ord och fraser,1-11-66
186,I muntlig interaktion uttrycker sig eleven mycket enkelt och i huvudsak begripligt med enstaka vanliga ord och fraser,1-11-66
187,Dessutom använder eleven strategier som i någon mån underlättar interaktionen.,1-11-66
188,"Eleven läser, och förstår mycket vanliga ord i korta, enkla texter som handlar om välbekanta ämnen och som är skrivna med förenklade tecken.",1-11-66
189,Eleven skriver några vanligt förekommande tecken för hand och med hjälp av digitala hjälpmedel.,1-11-66
190,"Eleven kommenterar på ett mycket enkelt sätt, på kinesiska, förhållanden i olika sammanhang och områden där språket används.",1-11-66
191,"Eleven lyssnar, och förstår vanliga ord och enkla fraser i tydligt talad, enkel kinesiska i mycket långsamt tempo om välbekanta ämnen.",1-11-67
192,I muntliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med enstaka ord och fraser,1-11-67
193,I muntlig interaktion uttrycker sig eleven enkelt och begripligt med enstaka ord och fraser,1-11-67
194,Dessutom använder eleven strategier som i någon mån underlättar och förbättrar interaktionen.,1-11-67
195,"Eleven läser, och förstår vanliga ord i korta, enkla texter som handlar om välbekanta ämnen och som är skrivna med förenklade tecken.",1-11-67
196,"Eleven använder några vanligt förekommande tecken för att med viss säkerhet skriva korta, enkla texter för hand och med hjälp av digitala hjälpmedel.",1-11-67
197,"Eleven kommenterar på ett mycket enkelt sätt, på kinesiska, förhållanden i olika sammanhang och områden där språket används.",1-11-67
198,"Eleven lyssnar, och förstår vanliga, enkla ord i tydligt talad, enkel kinesiska i mycket långsamt tempo om välbekanta ämnen.",1-11-68
199,I muntliga framställningar formulerar sig eleven mycket enkelt och i huvudsak begripligt med enstaka vanliga ord och fraser,1-11-68
200,I muntlig interaktion uttrycker sig eleven mycket enkelt och i huvudsak begripligt med enstaka vanliga ord och fraser,1-11-68
201,Dessutom använder eleven strategier som i någon mån underlättar interaktionen.,1-11-68
202,"Eleven läser, och förstår mycket vanliga ord i korta, enkla texter som handlar om välbekanta ämnen och som är skrivna med förenklade tecken.",1-11-68
203,Eleven skriver några vanligt förekommande tecken för hand och med hjälp av digitala hjälpmedel.,1-11-68
204,"Eleven kommenterar på ett mycket enkelt sätt, på kinesiska, förhållanden i olika sammanhang och områden där språket används.",1-11-68
205,"Eleven lyssnar, och förstår vanliga ord och enkla fraser i tydligt talad, enkel kinesiska i långsamt tempo om vardagliga och välbekanta ämnen",1-11-69
206,Eleven hittar enkel information i anvisade muntliga källor och använder på ett delvis relevant sätt det valda materialet i sin egen produktion och interaktion.,1-11-69
207,I muntliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med enstaka ord och fraser,1-11-69
208,I muntlig interaktion uttrycker sig eleven enkelt och begripligt med enstaka ord och fraser,1-11-69
209,Dessutom använder eleven strategier som i någon mån underlättar och förbättrar interaktionen.,1-11-69
210,"Eleven läser, och förstår vanliga ord och enkla fraser i korta, enkla texter som handlar om vardagliga och välbekanta ämnen och som är skrivna med förenklade tecken",1-11-69
211,Eleven hittar mycket enkel information i anvisade skriftliga källor och använder på ett delvis relevant sätt det valda materialet i sin egen produktion och interaktion.,1-11-69
212,Eleven skriver med hjälp av digitala hjälpmedel och i viss utsträckning även för hand,1-11-69
213,I skriftliga framställningar med förenklade tecken formulerar sig eleven enkelt och begripligt med enstaka ord och fraser,1-11-69
214,I skriftlig interaktion med förenklade tecken uttrycker sig eleven enkelt och begripligt med enstaka ord och fraser.,1-11-69
215,"Eleven kommenterar på ett mycket enkelt sätt, på kinesiska, förhållanden i olika sammanhang och områden där språket används.",1-11-69
216,Eleven samtalar om bekanta ämnen på ett sätt som till viss del upprätthåller samtalen,1-12-73
217,"Dessutom förbereder och genomför eleven muntliga framställningar med i huvudsak fungerande inledning, innehåll och avslutning och viss anpassning till syfte och mottagare.",1-12-73
218,"Eleven skriver, utifrån modersmålets särdrag, olika slags texter med begripligt innehåll, i huvudsak fungerande struktur och viss språklig variation",1-12-73
219,Eleven följer grundläggande regler för språkriktighet med viss säkerhet.,1-12-73
220,Eleven läser olika texter med visst flyt och visar grundläggande läsförståelse,1-12-73
221,Eleven för enkla resonemang om tydligt framträdande budskap i olika texter.,1-12-73
222,Eleven beskriver på ett enkelt sätt likheter och skillnader i skriftspråk mellan modersmålet och svenska.,1-12-73
223,"Eleven beskriver på ett enkelt sätt, även utifrån egna erfarenheter eller kunskaper, om traditioner och företeelser med anknytning till områden där modersmålet talas.",1-12-73
224,Eleven samtalar om och diskuterar varierande ämnen på ett sätt som till viss del utvecklar samtalen och diskussionerna,1-12-74
225,"Dessutom förbereder och genomför eleven muntliga framställningar med i huvudsak fungerande struktur, innehåll och viss anpassning till syfte, mottagare och sammanhang.",1-12-74
226,"Eleven skriver, utifrån modersmålets särdrag, olika slags texter med viss språklig variation, i huvudsak fungerande struktur och innehåll samt viss anpassning till texttyp, syfte, mottagare och sammanhang",1-12-74
227,Eleven följer grundläggande regler för språkriktighet med viss säkerhet.,1-12-74
228,Eleven läser olika texter med flyt och visar grundläggande läsförståelse,1-12-74
229,Dessutom tolkar och för eleven enkla resonemang om budskap i olika texter.,1-12-74
230,Eleven för enkla resonemang om likheter och skillnader i skriftspråk mellan modersmålet och svenska,1-12-74
231,"Dessutom jämför och översätter eleven ord, begrepp och fraser mellan modersmålet och svenska på ett i huvudsak fungerande sätt.",1-12-74
232,"Eleven beskriver och resonerar på ett enkelt sätt om traditioner, kulturella företeelser och samhällsfrågor med anknytning till områden där modersmålet talas",1-12-74
233,"Eleven gör då enkla jämförelser med förhållanden i Sverige, även utifrån egna erfarenheter eller kunskaper.",1-12-74
234,Eleven samtalar om bekanta ämnen på ett sätt som till viss del upprätthåller samtalen,1-13-81
235,"Dessutom förbereder och genomför eleven muntliga framställningar med i huvudsak fungerande inledning, innehåll och avslutning och viss anpassning till syfte och mottagare.",1-13-81
236,"Eleven skriver olika slags texter med begripligt innehåll, i huvudsak fungerande struktur och viss språklig variation",1-13-81
237,"Eleven följer grundläggande regler för stavning, meningsbyggnad och ordböjning med viss säkerhet.",1-13-81
238,Eleven läser olika texter med visst flyt och visar grundläggande läsförståelse,1-13-81
239,Eleven för enkla resonemang om tydligt framträdande budskap i olika texter.,1-13-81
240,"Eleven ger enkla exempel på sociala, historiska och kulturella företeelser som berör sverigefinnar.",1-13-81
241,Eleven samtalar om och diskuterar varierande ämnen på ett sätt som till viss del utvecklar samtalen och diskussionerna,1-13-82
242,"Dessutom förbereder och genomför eleven muntliga framställningar med i huvudsak fungerande struktur, innehåll och viss anpassning till syfte, mottagare och sammanhang.",1-13-82
243,"Eleven skriver olika slags texter med viss språklig variation, i huvudsak fungerande struktur och innehåll samt viss anpassning till texttyp, syfte, mottagare och sammanhang",1-13-82
244,Eleven följer grundläggande regler för språkriktighet med viss säkerhet.,1-13-82
